Symbol,Category
XNR,Services
G,Consumer noncyclical
AMR,Transportation
WMB,Utilities
AVP,Consumer noncyclical
F,Consumer cyclical
VLO,Energy
MCD,Services
GM,Consumer cyclical
NBL,Energy
IFF,Basic materials
HPC,Basic materials
APA,Energy
WMT,Services
DD,Basic materials
KMG,Energy
FNM,Financial
CAT,Capital goods
HAL,Energy
EC,Consumer cyclical
DOW,Basic materials
SLB,Energy
KR,Services
WY,Basic materials
BP,Energy
HET,Services
IP,Basic materials
COP,Energy
TXI,Capital goods
GP,Basic materials
CVX,Energy
FO,Conglomerates
BCC,Basic materials
OXY,Energy
SKY,Capital goods
AA,Basic materials
RD,Energy
FLE,Capital goods
PD,Basic materials
MRO,Energy
RSH,Services
LPX,Basic materials
XOM,Energy
EK,Consumer cyclical
N,Basic materials
PGL,Utilities
EMR,Conglomerates
DE,Capital goods
CNP,Utilities
TOY,Services
PBI,Technology
ETR,Utilities
TEN,Consumer cyclical
BDK,Consumer cyclical
DTE,Utilities
ROK,Technology
UNP,Transportation
EXC,Utilities
HON,Capital goods
NSC,Transportation
AEP,Utilities
AXP,Financial
CSX,Transportation
PEG,Utilities
GRA,Basic materials
BNI,Transportation
SO,Utilities
VVI,Services
CNF,Transportation
ED,Utilities
CSC,Technology
MAT,Consumer cyclical
PCG,Utilities
DBD,Technology
C,Financial
EIX,Utilities
HRS,Technology
VIA,Services
LMT,Capital goods
STK,Technology
MMM,Conglomerates
NOC,Capital goods
ZL,Technology
DIS,Services
RTN,Conglomerates
TEK,Technology
BC,Consumer cyclical
GD,Capital goods
AVT,Technology
CBE,Technology
BA,Capital goods
GLW,Technology
THC,Healthcare
BOL,Healthcare
NSM,Technology
HUM,Financial
MDT,Healthcare
TXN,Technology
AET,Financial
BAX,Healthcare
MOT,Technology
CI,Financial
WYE,Healthcare
HPQ,Technology
JCP,Services
BMY,Healthcare
NT,Technology
MEE,Energy
LLY,Healthcare
IBM,Technology
GE,Conglomerates
MRK,Healthcare
UIS,Technology
UTX,Conglomerates
PFE,Healthcare
XRX,Technology
R,Services
JNJ,Healthcare
T,Services
NVO,Healthcare
PEP,Consumer noncyclical
HIT,Capital goods
GT,Consumer cyclical
KO,Consumer noncyclical
MER,Financial
S,Services
PG,Consumer noncyclical
FDX,Transportation
NAV,Consumer cyclical
MO,Consumer noncyclical
LUV,Transportation
CEN,Technology
CL,Consumer noncyclical
DAL,Transportation
FL,Services
